,Matchday,Matches,HomePositions,AwayPositions,HomeWins,AwayWins,HomeDraws,AwayDraws,HomeLosses,AwayLosses,HomeGoalsScored,AwayGoalsScored,HomeGoalsConceded,AwayGoalsConceded,HomeGoalDiff,AwayGoalDiff,HomePoints,AwayPoints,HomeSquadSize,AwaySquadSize,HomeAvgAge,AwayAvgAge,HomeNumForeigners,AwayNumForeigners,HomeAvgMarketVal,AwayAvgMarketVal,HomeMarketVal,AwayMarketVal
0,3,21/22 - Antalyaspor vs. Caykur Rizespor,15,17,0,0,1,1,1,1,1,0,3,3,-2,-3,1,1,30,26,26.5,27.7,13,14,964,854,28930,22200
1,3,21/22 - Adana Demirspor vs. Konyaspor,14,5,0,2,1,0,1,0,1,3,2,1,-1,2,1,6,25,28,27.7,26.9,14,12,1370,755,34300,21150
2,3,21/22 - Yeni Malatyaspor vs. Gaziantep FK,10,12,1,0,0,1,1,1,2,2,5,3,-3,-1,3,1,31,31,24.8,27.2,13,14,900,994,27900,30830
3,3,21/22 - Istanbul Basaksehir FK vs. Kayserispor,19,16,0,0,0,1,2,1,1,1,3,4,-2,-3,0,1,29,32,27.5,27.5,13,20,1780,923,51500,29550
4,3,21/22 - Besiktas JK vs. Fatih Karagümrük,6,8,1,1,1,1,0,0,3,3,0,2,3,1,4,4,33,37,27.5,26.5,18,17,3850,976,127150,36130
5,3,21/22 - Hatayspor vs. Alanyaspor,11,9,0,1,1,0,1,1,2,2,3,4,-1,-2,1,3,26,31,27.0,26.6,13,13,839,1300,21830,40200
6,3,21/22 - Kasimpasa vs. Galatasaray A.S.,7,3,1,2,1,0,0,0,3,4,1,1,2,3,4,6,27,30,26.8,26.8,15,14,890,3170,24030,95180
7,3,21/22 - Sivasspor vs. Göztepe,18,13,0,0,0,1,2,1,1,1,3,2,-2,-1,0,1,27,33,29.3,25.0,13,11,1050,927,28250,30580
8,3,21/22 - Giresunspor vs. Trabzonspor,20,2,0,2,0,0,2,0,0,7,4,2,-4,5,0,6,30,28,26.4,26.9,13,13,712,3440,21350,96200
9,3,21/22 - Altay SK vs. Fenerbahce SK,1,4,2,2,0,0,0,0,7,3,1,0,6,3,6,6,34,33,28.4,25.5,15,20,435,3600,14780,118730
10,4,21/22 - Fatih Karagümrük vs. Adana Demirspor,10,15,1,0,1,2,1,1,3,2,3,3,0,-1,4,2,37,25,26.5,27.7,17,14,976,1370,36130,34300
11,4,21/22 - Konyaspor vs. Altay SK,5,6,2,2,1,0,0,1,4,7,2,3,2,4,7,6,28,34,26.9,28.4,12,15,755,435,21150,14780
12,4,21/22 - Besiktas JK vs. Yeni Malatyaspor,3,7,2,2,1,0,0,1,4,4,0,5,4,-1,7,6,33,31,27.5,24.8,18,13,3850,900,127150,27900
13,4,21/22 - Kayserispor vs. Kasimpasa,12,8,1,1,1,2,1,0,2,5,4,3,-2,2,4,5,32,27,27.5,26.8,20,15,923,890,29550,24030
14,4,21/22 - Fenerbahce SK vs. Sivasspor,2,16,3,0,0,1,0,2,5,3,0,5,5,-2,9,1,33,27,25.5,29.3,20,13,3600,1050,118730,28250
15,4,21/22 - Caykur Rizespor vs. Hatayspor,18,9,0,1,1,1,2,1,2,7,6,3,-4,4,1,4,26,26,27.7,27.0,14,13,854,839,22200,21830
16,4,21/22 - Trabzonspor vs. Galatasaray A.S.,1,4,3,2,0,1,0,0,8,6,2,3,6,3,9,7,28,30,26.9,26.8,13,14,3440,3170,96200,95180
17,4,21/22 - Göztepe vs. Istanbul Basaksehir FK,14,19,0,0,2,0,1,3,3,1,4,4,-1,-3,2,0,33,29,25.0,27.5,11,13,927,1780,30580,51500
18,4,21/22 - Gaziantep FK vs. Antalyaspor,17,11,0,1,1,1,2,1,2,4,5,5,-3,-1,1,4,31,30,27.2,26.5,14,13,994,964,30830,28930
19,4,21/22 - Alanyaspor vs. Giresunspor,13,20,1,0,0,0,2,3,2,0,9,5,-7,-5,3,0,31,30,26.6,26.4,13,13,1300,712,40200,21350
